year,age,men,women
2002,79,52524,163548
2002,80 і старше,234688,826089
2002,Вік невідомий,9703,9957
2003,0,199843,187485
2003,1,191369,180303
2003,2,196710,185668
2003,3,198668,188445
2003,4,209971,201078
2003,5,219654,209152
2003,6,237418,225813
2003,7,246624,234581
2003,8,256753,243886
2003,9,271680,258693
2003,10,292877,278477
2003,11,314397,298595
2003,12,330703,314131
2003,13,346266,329752
2003,14,368662,351823
2003,15,382274,364106
2003,16,405055,387397
2003,17,393133,377188
2003,18,402931,386329
2003,19,411002,392925
2003,20,376783,357685
2003,21,362135,350708
2003,22,370022,359067
2003,23,350667,340520
2003,24,347170,340727
2003,25,335314,331647
2003,26,352707,349165
2003,27,344541,344768
2003,28,335554,336870
2003,29,326719,328557
2003,30,335508,341016
2003,31,333130,337100
2003,32,330270,335038
2003,33,303556,311489
2003,34,308873,317835
2003,35,304369,316108
2003,36,313404,327661
2003,37,309606,326993
2003,38,323971,343820
2003,39,344870,369825
2003,40,353497,381391
2003,41,366619,395963
2003,42,380123,412071
2003,43,362087,398323
2003,44,359315,397133
2003,45,344795,384235
2003,46,340918,385168
2003,47,318594,363531
2003,48,327352,376976
2003,49,298487,347402
2003,50,311742,365487
2003,51,310898,364832
2003,52,306216,363888
2003,53,316243,382611
2003,54,261809,319721
2003,55,231387,288099
2003,56,219489,281850
2003,57,141674,188214
2003,58,165331,221583
2003,59,147460,200308
2003,60,189976,261677
2003,61,246700,343151
2003,62,252400,356240
2003,63,268321,391365
2003,64,278182,411225
2003,65,288136,422361
2003,66,230245,341267
2003,67,191984,284033
2003,68,142118,212811
2003,69,117836,184309
2003,70,143380,240252
2003,71,147656,245348
2003,72,171190,300347
2003,73,147860,272509
2003,74,147046,285219
2003,75,130571,261208
2003,76,107181,250343
2003,77,89195,229108
2003,78,74152,210796
2003,79,59428,175824
2003,80 і старше,239782,849969
2003,Вік невідомий,NA,NA
2004,0,208263,197084
2004,1,199124,186965
2004,2,190979,179999
2004,3,196416,185434
2004,4,198398,188220
2004,5,209706,200882
2004,6,219487,208905
2004,7,237154,225572
2004,8,246357,234412
2004,9,256497,243634
2004,10,271428,258466
2004,11,292600,278266
2004,12,314109,298295
2004,13,330399,313882
2004,14,345912,329456
2004,15,368256,351498
2004,16,381841,363789
2004,17,404562,387068
2004,18,392771,376976
2004,19,402400,385886
2004,20,410330,392490
2004,21,375915,357234
2004,22,361177,350130
2004,23,368816,358352
2004,24,349258,339803
